geoid,supply
17031830400,1
17031830500,1
17031830600,2
17031830700,4
17031830800,25
17031830900,2
17031831000,0
17031831100,1
17031831200,1
17031831300,0
17031831400,5
17031831500,0
17031831600,9
17031831700,12
17031831800,0
17031831900,1
17031832000,0
17031832100,0
17031832200,3
17031832300,0
17031832400,0
17031832500,3
17031832600,0
17031832900,0
17031833000,3
17031833100,2
17031833300,5
17031833900,0
17031834000,0
17031834200,22
17031834300,0
17031834400,2
17031834500,0
17031834600,0
17031834700,0
17031834800,3
17031834900,0
17031835000,0
17031835100,0
17031835200,3
17031835500,0
17031835600,5
17031835700,0
17031835800,0
17031835900,0
17031836000,0
17031836100,0
17031836200,94
17031836300,11
17031836400,3
17031836500,0
17031836600,1
17031836700,6
17031836800,0
17031836900,0
17031837000,1
17031837100,0
17031837300,0
17031837400,1
17031837800,10
17031838000,1
17031838100,114
17031838200,217
17031838300,1
17031838600,0
17031838700,1
17031838800,0
17031839000,0
17031839100,37
17031839200,8
17031839500,1
17031839600,3
17031839700,1
17031839800,0
17031839900,3
17031840000,0
17031840100,0
17031840200,0
17031840300,1
17031840400,4
17031840700,16
17031840800,4
17031841000,75
17031841100,8
17031841200,0
17031841300,4
17031841400,0
17031841500,0
17031841600,0
17031841700,0
17031841800,0
17031841900,4
17031842000,3
17031842100,0
17031842200,46
17031842300,6
17031842400,0
17031842500,0
17031842600,2
17031842800,3
17031842900,4
17031843000,6
17031843100,0
17031843200,14
17031843300,35
17031843400,0
17031843500,13
17031843600,2
17031843700,0
17031843800,0
17031843900,6
